�gnc,Date,Issuer,Symbol,Lead/Joint-Lead _Managers,Offer_Price,Opening_Price,1st Day_Close,1st Day_Chng
2986,2004/12/15,Otelco Telecommunications ,OTT,CIBC World Markets/RBC Capital Markets/UBS Investment Bank,15.2,15.35,15.25,0.0033
2987,2004/12/15,Cambridge Display Technology ,OLED,SG Cowen,12,12.7,11.27,-0.0608
2988,2004/12/15,Advance America Cash Advance ,AEA,Morgan Stanley,15,20.5,20.5,0.3667
2989,2004/12/15,Arbinet-thexchange ,ARBX,Merrill Lynch/Lehman Brothers,17.5,26.85,29,0.6571
2990,2004/12/15,KMG AMERICA ,KMA,Friedman Billings Ramsey,9.5,10.5,10.8,0.1368
2991,2004/12/16,Warren Resources ,WRES,KeyBanc Capital Markets,7.5,10,9.2,0.2267
2992,2004/12/16,MHI ,MDH,BB&T Capital Markets,10,10,10,0
2993,2003/2/11,Bancshares of Florida,BOFL,Advest,10,10.5,10.19,0.0186
2994,2003/2/12,Infinity Property & Casualty ,IPCC,CS First Boston/Merrill Lynch,16,16,15.9,-0.0062
2995,2003/2/14,Accredited Home Lenders ,LEND,"Friedman, Billings",8,8,7.25,-0.0938
2996,2003/2/28,Endurance Specialty Holdings,ENH,Goldman Sachs/Merrill Lynch,23,23.01,23,0
2997,2003/3/4,Telkom SA ,TKG,Deutsche Bank/Merrill Lynch,13.98,14.1,13.9,-0.0057
2998,2003/5/12,iPayment ,IPMT,Bear Stearns/Wachovia,16,19.3,21.02,0.3138
2999,2003/5/15,Redline Performance Products ,RED,GunnAllen Financial,4.5,4.5,4.5,0
3000,2003/6/11,FormFactor,FORM,Morgan Stanley,14,19,17.58,0.2557
3001,2003/6/24,Maguire Properties ,MPG,CS First Boston/Citigroup,19,19,19,0
3002,2003/6/24,American Financial Realty Trust ,AFR,Banc of America/Friedman Billings,12.5,14.25,14.25,0.14
3003,2003/7/1,Molina Healthcare ,MOH,Banc of America/CIBC World Markets,17.5,21,20,0.1429
3004,2003/7/1,AXIS Capital Holdings Limited ,AXS,Morgan Stanley/Citigroup Capital Markets,22,25.5,25.55,0.1614
3005,2003/7/9,Digital Theater Systems ,DTSI,SG Cowen,17,21,24.92,0.4659
3006,2003/7/16,InterVideo ,IVII,SG Cowen/SoundView Technology,14,19,18.69,0.335
3007,2003/7/23,Integrated Alarm Services Group ,IASG,Friedman Billings,9.25,9.41,9.43,0.0195
3008,2003/7/23,iPass ,IPAS,Morgan Stanley/CS First Boston,14,14,18.67,0.3336
3009,2003/7/30,NETGEAR,NTGR,Lehman Brothers,14,19.15,17.69,0.2636
3010,2003/8/1,Citadel Broadcasting ,CDL,Goldman Sachs/CS First Boston,19,20.75,20.65,0.0868
3011,2003/8/6,CapitalSource,CSE,CS First Boston/Citigroup/Wachovia,14.5,16.95,18.2,0.2552
3012,2003/8/11,Direct General ,DRCT,"Keefe, Bruyette & Woods",21,23.75,25,0.1905
3013,2003/8/12,Texas Capital Bancshares ,TCBI,Lehman Brothers,11,11.89,11.99,0.09
3014,2003/8/12,Gladstone Commercial ,GOOD,"Ferris, Baker, Watts/Jefferies",15,15.4,15.03,0.002
3015,2003/8/18,Providence Service ,PRSC,SunTrust Robinson Humphrey/Jefferies,12,13.25,14,0.1667
3016,2003/8/26,Ashford Hospitality Trust ,AHT,Friedman Billings,9,9,9,0
3017,2003/9/17,National Financial Partners ,NFP,Goldman Sachs/Merrill Lynch,23,26.25,26.25,0.1413
3018,2003/9/18,SigmaTel ,SGTL,Merrill Lynch/JP Morgan,15,19,19.8,0.32
3019,2003/9/23,Journal Co. ,JRN,Morgan Stanley/Robert W. Baird,15,16.1,16.25,0.0833
3020,2003/9/23,AMIS Holdings,AMIS,CS First Boston/Goldman Sachs,20,21.06,20.1,0.005
3021,2003/9/24,Anchor Glass Container ,AGCC,Credit Suisse First Boston/Merrill Lynch,16,15.9,16.8,0.05
3022,2003/9/24,RedEnvelope ,REDE,WR Hambrecht+Co.,14,14.85,14.55,0.0393
3023,2003/10/2,LKQ,LKQX,Robert W. Baird/Jefferies,13,14.25,15.01,0.1546
