�gnc,Date,Issuer,Symbol,Lead/Joint-Lead _Managers,Offer_Price,Opening_Price,1st Day_Close,1st Day_Chng
0,2020/1/17,I-Mab ,IMAB,Jefferies/ CICC,14,14.75,12.75,-0.0893
1,2020/1/17,LIZHI ,LIZI,Credit Suisse/ Citigroup,11,11.03,11.63,0.0573
2,2020/1/17,Phoenix Tree Holdings Ltd. ,DNK,Citigroup/ Credit Suisse/ J.P. Morgan,13.5,13.5,13.5,0
3,2020/1/17,Velocity Financial ,VEL,Wells Fargo Securities/ Citigroup/ JMP Securities,13,13.85,13.51,0.0392
4,2020/1/24,Gores Holdings IV ,GHIVU,Deutsche Bank Securities,10,10.52,10.45,0.045
5,2020/1/24,SCVX Corp. ,SCVXU,Credit Suisse,10,10.3,10.32,0.032
6,2020/1/28,AnPac Bio-Medical Science ,ANPC,WestPark Capital,12,12,11.25,-0.0625
7,2020/1/29,Annovis Bio ,ANVS,ThinkEquity (a division of Fordham Financial Management ),6,6.63,9.59,0.5983
8,2020/1/29,Black Diamond Therapeutics ,BDTX,J.P. Morgan/ Jefferies/ Cowen,19,33,39.48,1.0779
9,2020/1/31,1Life Healthcare ,OWEM,J.P. Morgan/ Morgan Stanley,14,18,22.07,0.5764
10,2020/1/31,Arcutis Biotherapeutics,ARQT,Goldman Sachs/ Cowen/ Guggenheim Securities,17,23.05,21.8,0.2824
11,2020/1/31,Reynolds Consumer Products ,REYN,Credit Suisse/ Goldman Sachs/ J.P. Morgan ,26,27.5,28.55,0.0981
12,2020/2/4,InterPrivate Acquisition ,IPV.U,EarlyBirdCapital,10,10.09,10.1,0.01
13,2020/2/6,Beam Therapeutics ,BEAM,J.P. Morgan/ Jefferies/ Barclays,17,24,18.75,0.1029
14,2020/2/6,Casper Sleep ,CSPR,Morgan Stanley/ Goldman Sachs/ Jefferies,12,14.5,13.5,0.125
15,2020/2/6,PPD ,PPD,Barclays/ J.P. Morgan/ Morgan Stanley/ Goldman Sachs/ BofA Securities/ Credit Suisse/ Jefferies/ UBS Investment Bank/ Citigroup/ Deutsche Bank Securities/ Evercore ISI/ HSBC/ Mizuho Securities/ Baird/ William Blair,27,31,30,0.1111
16,2020/2/6,Schrodinger ,SDGR,Morgan Stanley/ BofA Securities/ Jefferies/ BMO Capital Markets,17,26,28.64,0.6847
17,2020/2/7,NexPoint Real Estate Finance ,NREF,Raymond James,19,16,18.8,-0.0105
18,2020/2/7,OneWater Marine ,ONEW,Raymond James/ Baird/ SunTrust Robinson Humphrey,12,15.02,15.14,0.2617
19,2020/2/7,Professional Holding ,PFHD,"Stephens/ Keefe, Bruyette & Woods (A Stifel Company​)",18.5,19.31,19.55,0.0568
20,2020/2/11,CITIC Capital Acquisition (CCAC.U) (u),CCAC.U,Credit Suisse,10,10.26,10.2,0.02
21,2020/2/11,Greenrose Acquisition ,GNRSU,Imperial Capital,10,10.02,10.07,0.007
22,2020/2/12,Huize Holding Ltd. ,HUIZ,Citigroup/ CICC,10.5,10.62,10,-0.0476
23,2020/2/13,Yunhong International ,ZGYHU,Maxim Group LLC,10,10.01,10,0
24,2020/2/13,Muscle Maker ,GRIL,Alexander Capital,5,4.7,3.86,-0.228
25,2020/2/13,Revolution Medicines ,RVMD,J.P. Morgan/ Cowen/ SVB Leerink/ Guggenheim Securities,17,28.21,28.9,0.7
26,2020/2/14,Churchill Capital Corp. III ,CCXX.U,Citigroup/ Goldman Sachs,10,10.58,10.51,0.051
27,2020/2/14,Newborn Acquisition ,NBACU,Chardan,10,10.02,10.05,0.005
28,2020/2/20,East Stone Acquisition ,ESSCU,I-Bankers Securities,10,10.05,10.01,0.001
29,2020/2/21,dMY Technology Group ,DMYT.U,Goldman Sachs/ UBS Investment Bank,10,10.31,10.34,0.034
30,2020/2/24,ZHONGCHAO ,ZCMD,Network 1 Financial Securities,4,4.34,4,0
31,2020/2/28,Passage BIO ,PASG,J.P. Morgan/ Goldman Sachs/ Cowen,18,22.27,22.2,0.2333
32,2020/3/3,GFL Environmental Holdings,GFL,JPMorgan/ BMO Capital Markets/ Goldman Sachs/ RBC Capital Markets/ Scotiabank,19,17.5,16.8,-0.1158
33,2020/3/6,Flying Eagle Acquisition,FEAC.U,Goldman Sachs/ DNB Markets,10,10.45,10.4,0.04
34,2020/3/6,LifeSci Acquisition,LSACU,Chardan,10,10.1,10.25,0.025
35,2020/3/11,DFP Healthcare Acquisitions ,DFPHU,Deutsche Bank Securities,10,10.18,10.2,0.02
36,2020/3/12,IMARA ,IMRA,Morgan Stanley/ Citigroup/ SVB Leerink,16,14,15,-0.0625
37,2020/4/1,WiMi Hologram Cloud ,WIMI,Benchmark Company/ Maxim Group/ China Merchants Securities (HK)/ AMTD Global Markets,5.5,6,5.5,0
38,2020/4/3,Zentalis Pharmaceuticals ,ZNTL,Morgan Stanley/ Jefferies/ SVB Leerink/ Guggenheim Securities ,18,25.2,23.2,0.2889
39,2020/4/8,Keros Therapeutics ,KROS,Jefferies/ SVB Leerink/ Piper Sandler,16,20.85,20.08,0.255
40,2020/4/22,Social Capital Hedosophia Holdings Corp. III,IPOC.U,Credit Suisse,10,10.08,10.07,0.007
41,2020/4/24,CC Neuberger Principal Holdings I ,PCPL.U,Goldman Sachs/ BofA Securities,10,10.05,10.06,0.006
42,2020/4/24,Chardan Healthcare Acquisition 2 ,CHAQ.U,Chardan,10,10,9.98,-0.002
43,2020/4/24,ORIC Pharmaceuticals ,ORIC,J.P. Morgan/ Citigroup/ Jefferies/ Guggenheim Securities,16,26,25.77,0.6106
44,2020/4/28,Social Capital Hedosophia Holdings Corp. II ,IPOB.U,Credit Suisse,10,10.15,10.12,0.012
45,2020/4/30,Fortress Value Acquisition (FVAC.U) (u),FVAC.U,Deutsche Bank Securities,10,10.05,10.06,0.006
46,2020/5/1,Collective Growth ,CGROU,Cantor,10,10,9.96,-0.004
47,2020/5/1,Lyra Therapeutics ,LYRA,BofA Securities/ Jefferies/ William Blair,16,21,18.56,0.16
48,2020/5/5,Roth CH Acquisition ,ROCHU,Roth Capital Partners/ Craig-Hallum Capital Group,10,9.95,9.94,-0.006
49,2020/5/6,Live Oak Acquisition ,LOAK.U,Jefferies,10,10,9.88,-0.012
50,2020/5/6,Sustainable Opportunities Acquisition ,SOAC.U,Citigroup,10,9.9,9.93,-0.007
51,2020/5/8,Ayala Pharmaceuticals ,AYLA,Citigroup/ Jefferies,15,15.66,15.03,0.002
52,2020/5/8,China Liberal Education Holdings (CLEU),CLEU,Boustead Securities,6,5,4.85,-0.1917
53,2020/5/8,Kingsoft Cloud Holdings ,KC,J.P. Morgan/ UBS Investment Bank/ Credit Suisse/ CICC ,17,20.37,23.84,0.4024
54,2020/5/14,GigCapital3 ,GIK.U,Nomura/ Oppenheimer,10,9.9,9.91,-0.009
55,2020/5/14,Jaws Acquisition ,JWS.U,Credit Suisse,10,10,10.25,0.025
56,2020/5/15,ADC Therapeutics America SA ,ADCI,Morgan Stanley/ BofA Securities/ Cowen and Company,19,30,29.65,0.5605
57,2020/5/15,Novus Capital,NOVSU,EarlyBirdCapital,10,9.97,9.95,-0.005
58,2019/1/8,MMTEC ,MTC,WestPark Capital,4,5.91,7.55,0.8875
59,2019/1/29,Andina Acquisition Corp. III ,ANDAU,Cowen/ Craig-Hallum Capital Group,10,10,10.01,0.001
60,2019/1/30,PIMCO Energy & Tactical Credit Opportunities Fund,NRGX,UBS Investment Bank/ BofA Merrill Lynch/ Morgan Stanley/ Wells Fargo Securities/ RBC Capital Markets/ Stifel,20,20,20.2,0.01
61,2019/1/31,New Fortress Energy ,NFE,Morgan Stanley/ Barclays,14,13.25,13.07,-0.0664
62,2019/1/31,Pivotal Acquisition ,PVT.U,Cantor,10,10.05,10.1,0.01
63,2019/2/1,Gores Metropoulos,GMHIU,Deutsche Bank Securities/ Credit Suisse/ Goldman Sachs,10,10.14,10.12,0.012
64,2019/2/6,Wealthbridge Acquisition ,HHHHU,Chardan,10,10.01,10.01,0.001
65,2019/2/7,Alector  ,ALEC,Morgan Stanley/ BofA Merrill Lynch/ Cowen/ Barclays,19,18.7,18,-0.0526
66,2019/2/7,Monocle Acquisition ,MNCLU,Cowen/ Chardan,10,10,10.01,0.001
67,2019/2/8,Gossamer Bio ,GOSS,BofA Merrill Lynch/ Leerink Partners/ Barclays/ Evercore ISI,16,19,17.94,0.1213
68,2019/2/8,Harpoon Therapeutics ,HARP,Citigroup/ Leerink Partners,14,14,13.5,-0.0357
69,2019/2/8,RMG Acquisition ,RMG.U,Deutsche Bank Securities,10,10.01,10,0
70,2019/2/13,IMAC Holdings ,IMAC/IMACW,Dawson James Securities/ Cuttone,5,3.91,4.18,-0.164
71,2019/2/14,Avedro ,AVDR,BofA Merrill Lynch/ J.P. Morgan,14,11.6,12.29,-0.1221
72,2019/2/24,TCR2 Therapeutic ,TCRR,Jefferies/ Leerink Partners/ BMO Capital Markets,15,15.15,15.07,0.0047
73,2019/2/15,Hoth Therapeutics ,HOTH,Laidlaw & Company (UK) Ltd.,5.6,6.9,8.53,0.5232
74,2019/2/15,Stealth BioTherapeutics ,MITO,Jefferies/ Evercore ISI/ BMO Capital Markets,12,12.1,11.9,-0.0083
75,2019/2/22,Acamar Partners Acquisition,ACAMU,Goldman Sachs/ Deutsche Bank Securities,10,10.02,10,0
76,2019/2/26,Super League Gaming ,SLGG,Northland Capital/ Markets Lake Street,11,11,8.5,-0.2273
77,2019/2/28,DiamondPeak Holdings ,DPHCU,Deutsche Bank Securities,10,10,10,0
78,2019/2/28,Kaleido Biosciences ,KLDO,Goldman Sachs/ J.P. Morgan/ Morgan Stanley,15,12.8,14.23,-0.0513
79,2019/2/28,Tortoise Acquisition ,SHLLU,Barclays/ Goldman Sachs/ UBS Investment Bank,10,10.02,10,0
80,2019/3/1,Hennessy Capital Acquisition ,HCACU,Nomura/ Stifel,10,10,10.02,0.002
81,2019/3/5,Tuscan Holdings ,THCBU,EarlyBirdCapital,10,10.1,10.13,0.013
82,2019/3/7,ShockWave Medical ,SWAV,Morgan Stanley/ BofA Merrill Lynch,17,24.8,30.5,0.7941
83,2019/3/8,Crescent Acquisition,CRSAU,Credit Suisse/ BofA Merrill Lynch,10,10,10,0
84,2019/3/8,Futu Holdings Limited ,FUTU,Goldman Sachs (Asia)/ UBS Investment Bank/ Credit Suisse,12,14.76,15.32,0.2767
85,2019/3/14,Trine Acquisition,TRNEU,BTIG/ Cantor,10,10,10,0
86,2019/3/20,Insurance Acquisition ,INSUU,Cantor,10,10.1,10.1,0.01
87,2019/3/20,UP Fintech Holding Limited ,TIGR,Citigroup/ Deutsche Bank Securities,8,8.1,10.92,0.365
88,2019/3/21,Levi Strauss  ,LEVI,Goldman Sachs/ J.P. Morgan,17,22.22,22.41,0.3182
89,2019/3/25,8i Enterprises Acquisition ,JFKKU,Chardan,10,10.05,10.03,0.003
90,2019/3/28,Precision BioSciences ,DTIL,J.P. Morgan/ Goldman Sachs/ Jefferies/ Barclays,16,18,17.44,0.09
91,2019/3/29,Lyft ,LYFT,J.P. Morgan/ Credit Suisse/ Jefferies,72,87.24,78.29,0.0874
92,2019/4/2,Powerbridge Technologies ,PBTS,Maxim Group/ The Benchmark Company,5,5.5,5.21,0.042
93,2019/4/3,Ruhnn Holding ,RUHN,Citigroup/ UBS Investment Bank,12.5,12.5,7.85,-0.372
94,2019/4/4,NGM Biopharmaceuticals ,NGM,Goldman Sachs/ Citigroup/ Cowen,16,15,14.7,-0.0813
95,2019/4/4,Replay Acquisition ,RPLA.U,Credit Suisse/ BofA Merrill Lynch,10,10,10.05,0.005
96,2019/4/4,Silk Road Medical,SILK,J.P. Morgan/ BofA Merrill Lynch,20,33.15,36.18,0.809
97,2019/4/4,Tradeweb Markets ,TW,J.P. Morgan/ Citigroup/ Goldman Sachs/ Morgan Stanley​,27,34.26,35.81,0.3263
98,2019/4/5,Guardion Health Sciences,GHSI,WallachBeth Capital,4,3.8,3.68,-0.08
99,2019/4/9,B. Riley Principal Merger ,BRPM.U,B. Riley FBR,10,10,10,0
100,2019/4/11,PagerDuty ,PD,Morgan Stanley/ J.P. Morgan Securities/ RBC Capital Markets/Allen,24,36.75,38.25,0.5938
101,2019/4/11,Tufin Software Technologies ,TUFN,J.P. Morgan/ Barclays Capital/ Jefferies,14,18.05,19.1,0.3643
102,2019/4/12,Jumia ,JMIA,Morgan Stanley/ Citigroup/ Berenberg/ RBC Capital Markets,14.5,18.95,25.46,0.7559
103,2019/4/17,Palomar Holdings ,PLMR,"Barclays/ J.P. Morgan/ Keefe, Woods & Bruyette (A Stifel Company)",15,18.5,18.99,0.266
104,2019/4/17,Turning Point Therapeutics ,TPTX,Goldman Sachs/ SVB Leerink/ Wells Fargo Securities,18,24.25,28.9,0.6056
105,2019/4/18,Brigham Minerals ,MNRL,Credit Suiss/ Goldman Sachs/ Barclays/ RBC Capital Markets/ UBS Investment Bank/ Wells Fargo Securities,18,20,19.92,0.1067
106,2019/4/18,Greenlane Holdings ,GNLN,Cowen/Canaccord Genuity,17,29,21.1,0.2412
107,2019/4/18,HOOKIPA Pharma ,HOOK,BofA Merrill Lynch/ SVB Leerink/ RBC Capital Markets,14,14.3,14,0
108,2019/4/18,Pinterest ,PINS,Goldman Sachs/ J.P. Morgan/ Allen & Company,19,23.5,24.4,0.2842
109,2019/4/18,Zoom Video Communications ,ZM,Morgan Stanley/ J. P. Morgan/ Goldman Sachs/ Credit Suisse,36,65,62,0.7222
110,2019/4/26,Act II Global Acquisition ,ACTTU,Cantor,10,10.1,10.1,0.01
111,2019/5/2,Beyond Meat ,BYND,Goldman Sachs/ J.P. Morgan/ Credit Suisse,25,46,65.75,1.63
112,2019/5/2,So-Young International ,SY,Deutsche Bank Securities/ CICC,13.8,16.5,18.2,0.3188
113,2019/5/2,TransMedics Group ,TMDX,Morgan Stanley/ J.P. Morgan,16,20.26,22.36,0.3975
114,2019/5/3,Red River Bancshares ,RRBI,FIG Partners/ Stephens,45,55,50.25,0.1167
115,2019/5/3,SciPlay,SCPL,BofA Merrill Lynch/ J.P. Morgan/ Deutsche Bank Securities,16,18,15.25,-0.0469
116,2019/5/3,Yunji ,YJ,Morgan Stanley/ Credit Suisse/ J.P. Morgan/ CICC,11,13.42,14.15,0.2864
117,2019/5/7,Landcadia Holdings II ,LCAHU,Jefferies,10,10.05,10.03,0.003
118,2019/5/7,Trevi Therapeutics ,TRVI,SVB Leerink/Stifel/ BMO Capital Markets,10,9.5,7.89,-0.211
119,2019/5/8,Parsons ,PSN,Goldman Sachs/ BofA Merrill Lynch/ Morgan Stanley,27,30.65,30.07,0.1137
120,2019/5/9,Axcella Health ,AXLA,Goldman Sachs/ J.P. Morgan/ SVB Leerink,20,15.12,13.8,-0.31
121,2019/5/9,Cortexyme ,CRTX,BofA Merrill Lynch/ Credit Suisse,17,20,32.89,0.9347
122,2019/5/9,HeadHunter Group PLC ,HHR,Morgan Stanley/ Goldman Sachs/ Credit Suisse/ VTB Capital,13,14.66,15.75,0.2115
123,2019/5/9,Mayville Engineering ,MEC,Baird/ Citigroup/ Jefferies,17,17,16.47,-0.0312
124,2019/5/9,Milestone Pharmaceuticals ,MIST,Jefferies/ Cowen/ Piper Jaffray,15,15.61,16.37,0.0913
125,2019/5/9,NextCure,NXTC,"Morgan Stanley/ BofAMerrill Lynch, Pierce/ Piper Jaffray",15,15.5,19.9,0.3267
126,2019/5/9,South Plains Financial ,SPFI,"Keefe, Bruyette & Woods (A Stifel Company)/ Sandler O’Neill + Partners",17.5,17.75,17.71,0.012
127,2019/5/10,Diamond Eagle Acquisition ,DEACU,Deutsche Bank Securities/ Goldman Sachs,10,10.05,10.03,0.003
128,2019/5/10,Health Sciences Acquisitions ,HSACU,Chardan/ UBS Investment Bank,10,10.2,10.26,0.026
129,2019/5/10,Jiayin Group ,JFIN,Roth Capital Partners/ Shenwan Hongyuan Securities,10.5,11,16.15,0.5381
130,2019/5/10,Sonim Technologies ,SONM,Oppenheimer/ Lake Street,11,11.7,10.99,-0.0009
131,2019/5/10,Uber Technologies ,UBER,Morgan Stanley/ Goldman Sachs/ BofA Merrill Lynch/ Barclays/ Citigroup/ Allen & Company,45,42,41.57,-0.0762
132,2019/5/14,AGBA Acquisition ,AGBAU,Maxim Group LLC,10,10.04,10.01,0.001
133,2019/5/14,Applied Therapeutics ,APLT,Citigroup/ Cowen/ UBS Investment Bank,10,8.04,9.4,-0.06
134,2019/5/15,Postal Realty Trust ,PSTL,Stifel/ Janney Montgomery Scott/ BMO Capital Markets/ Height Capital Markets,17,17,17,0
135,2019/5/17,Avantor ,AVTR,Goldman Sachs/ J.P. Morgan,14,14.72,14.5,0.0357
136,2019/5/17,Fastly ,FSLY,BofA Merrill Lynch/ Credit Suisse/ Citigroup,16,21.5,23.99,0.4994
137,2019/5/17,Luckin Coffee ,LK,Credit Suisse/ Morgan Stanley/ CICC/ Haitong Internationa,17,25,20.38,0.1988
138,2019/5/21,GX Acquisition ,GXGXU,Cantor,10,10.07,10.06,0.006
139,2019/5/23,Bicycle Therapeutics Limited ,BCYC,Goldman Sachs/ Jefferies/ Piper Jaffray,14,13.37,12,-0.1429
140,2019/5/23,IDEAYA Biosciences ,IDYA,J.P. Morgan/ Citigroup/ Jefferies,10,14,11.19,0.119
141,2019/5/23,Rattler Midstream Partners,RTLR,Credit Suisse/ BofA Merrill Lynch/ J.P. Morgan,17.5,18.06,18.9,0.08
142,2019/5/30,Proficient Alpha Acquisition ,PAACU,I-Bankers Securities,10,10.06,10.04,0.004
143,2019/6/6,GigCapital2 ,GIX.U,EarlyBirdCapital/ Northland Capital Markets,10,10.01,10.02,0.002
144,2019/6/6,GSX Techedu ,GSX,Credit Suisse/ Deutsche Bank Securities,10.5,12.1,10.48,-0.0019
145,2019/6/7,Haymaker Acquisition Corp. II ,HYACU,Cantor,10,10.1,10.1,0.01
146,2019/6/7,Revolve Group ,RVLV,Morgan Stanley/ Credit Suisse/ BofA Merrill Lynch,18,25.16,34,0.8889
147,2019/6/12,CrowdStrike Holdings ,CRWD,Goldman Sachs/ J.P. Morgan/ BofA Merrill Lynch/ Barclays,34,63.3,58,0.7059
148,2019/6/12,Mohawk Group Holdings ,MWK,Roth Capital Partners/ A.G.P.,10,10,10,0
149,2019/6/13,Fiverr International  ,FVRR,J.P. Morgan Securities/ Citigroup,21,26,39.9,0.9
150,2019/6/14,Chewy ,CHWY,Morgan Stanley/ J.P. Morgan/ Allen & Company,22,36,34.99,0.5905
151,2019/6/19,Stoke Therapeutics ,STOK,J.P. Morgan/ Cowen/ Credit Suisse,18,27.21,25.57,0.4206
152,2019/6/20,Akero Therapeutics ,AKRO,J.P. Morgan/ Jefferies/ Evercore ISI,16,16.16,18.32,0.145
153,2019/6/20,Atreca ,BCEL,Cowen/ Evercore ISI/ Stifel,17,19.9,18.05,0.0618
154,2019/6/20,Grocery Outlet Holding ,GO,BofA Merrill Lynch/ Morgan Stanley/ Deutsche Bank Securities/ Jefferies/ Barclays/ Goldman Sachs/ Guggenheim Securities/ UBS Investment Bank/ Cowen,22,31,28.51,0.2959
155,2019/6/20,Personalis ,PSNL,Morgan Stanley/ BofA Merrill Lynch/ Cowen and Company,17,23.7,28.49,0.6759
156,2019/6/20,Prevail Therapeutics ,PRVL,Morgan Stanley/ BofA Merrill Lynch/ Cowen and Company,17,15.31,13.6,-0.2
157,2019/6/20,Slack Technologies ,WORK,DPO (Direct Public Offering),26,38.5,38.62,0.4854
158,2019/6/20,South Mountain Merger ,SMMCU,Citigroup,10,10.03,10,0
159,2019/6/25,BlackRock Science and Technology Trust II ,BSTZ,Morgan Stanley/ BofA Merrill Lynch/ UBS Investment Bank/ Wells Fargo Securities/ Raymond James,20,20,20.02,0.001
160,2019/6/25,Linx S.A. ,LINX,Goldman Sachs/ Morgan Stanley/ Jefferies/ BofA Merrill Lynch/ Itaú BBA,9.4,9.3,9.09,-0.033
161,2019/6/26,Cambium Networks ,CMBM,J.P. Morgan/ Goldman Sachs,12,10.08,9.7,-0.1917
162,2019/6/26,BlackRock Science and Technology Trust II ,BSTZ,Morgan Stanley/ BofA Merrill Lynch/ UBS Investment Bank/ Wells Fargo Securities/ Raymond James,20,20,20.16,0.008
163,2019/6/27,Churchill Capital Corp II ,CCX.U,Citigroup,10,10.2,10.14,0.014
164,2019/6/27,BridgeBio Pharma,BBIO,J.P. Morgan/ Goldman Sachs/ Jefferies/ SVB Leerink/ KKR/ Piper Jaffray/ Mizuho Securities/ BMO Capital Markets/ Raymond James,17,30.61,27.55,0.6206
165,2019/6/27,Adaptive Biotechnologies ,ADPT,Goldman Sachs/ J.P. Morgan/ BofA Merrill Lynch,20,39.01,40.3,1.015
166,2019/6/27,Change Healthcare ,CHNG,Barclays/ Goldman Sachs/ J.P. Morgan,13,14,15,0.1538
167,2019/6/27,Morphic Holding ,MORF,Jefferies/ Cowen/ BMO Capital Markets/ Wells Fargo Securities,15,18,18,0.2
168,2019/6/28,Karuna Therapeutics ,KRTX,Goldman Sachs/ Citigroup/ Wells Fargo Securities,16,18.5,20.02,0.2513
169,2019/6/28,The RealReal ,REAL,Credit Suisse/ BofA Merrill Lynch/ UBS Investment Bank,20,28,28.9,0.445
170,2019/7/12,Pivotal Investment Corporation II ,PIC.U,Cantor/ BTIG,10,10.1,10.11,0.011
171,2019/7/12,SC Health ,SCPE.U,Credit Suisse,10,10.13,10.19,0.0188
172,2019/7/12,Tuscan Holdings Corp. II,THCAU,EarlyBirdCapital,10,10.05,10.04,0.004
173,2019/7/17,DouYu International Holdings ,DOYU,Morgan Stanley/ J.P. Morgan/ BofA Merrill Lynch/ CMBI,11.5,11.02,11.5,0
174,2019/7/18,AssetMark Financial Holdings ,AMK,J.P. Morgan/ Goldman Sachs/ Credit Suisse/ Huatai Securities (USA),22,25.45,27.04,0.2291
175,2019/7/18,Conyers Park II Acquisition ,CPAA.U,Deutsche Bank Securities/ Goldman Sachs,10,10.2,10.23,0.023
176,2019/7/18,Fulcrum Therapeutics ,FULC,Morgan Stanley/ BofA Merrill Lynch/ SVB Leerink,16,14.5,13.5,-0.1563
177,2019/7/18,Genmab A/S ,GMAB,BofA Merrill Lynch/ Morgan Stanley/ Jefferies,17.75,18.25,18.18,0.0242
178,2019/7/18,Mirum Pharmaceuticals  ,MIRM,Citigroup/ Evercore ISI/ Guggenheim Securities,15,13,13.21,-0.1193
179,2019/7/18,Oaktree Acquisition ,OAC.U,Credit Suisse/ Deutsche Bank Securities,10,10.1,10.13,0.013
180,2019/7/18,Owl Rock Capital ,ORCC,"Goldman Sachs/ BofA Merrill Lynch/ RBC Capital Markets/ SunTrust Robinson Humphrey/ Wells Fargo Securities/ Credit Suisse/ Deutsche Bank Securities/ JMP Securities/ Keefe, Bruyette & Woods (A Stifel Company)/ Morgan Stanley/ SOCIETE ",15.3,15.5,15.49,0.0124
181,2019/7/18,Phreesia ,PHR,J.P. Morgan/ Wells Fargo Securities/ William Blair/ Allen & Company/ Piper Jaffray,18,26.75,25.08,0.3933
182,2019/7/19,Afya Limited,AFYA,BofA Merrill Lynch/ Goldman Sachs/ UBS Investment Bank/ Itaú BBA,19,23.5,24.06,0.2663
183,2019/7/19,Intercorp Financial Services ,IFS,BofA Merrill Lynch/ J.P. Morgan/ Itaú BBA,46,46,46.11,0.0024
184,2019/7/19,Medallia ,MDLA,BofA Merrill Lynch/ Citigroup/ Wells Fargo Securities/ Credit Suisse,21,34,37.05,0.7643
185,2019/7/25,Castle Biosciences ,CSTL,SVB Leerink/ Baird,16,20,21.4,0.3375
186,2019/7/25,Fellazo ,FLLCU,Maxim Group,10,10,9.95,-0.005
187,2019/7/25,Health Catalyst ,HCAT,Goldman Sachs/ J.P. Morgan/ William Blair,26,37.5,39.17,0.5065
188,2019/7/25,Livongo Health ,LVGO,Morgan Stanley/ Goldman Sachs/ J.P. Morgan,28,40.51,38.1,0.3607
189,2019/7/25,ProSight Global ,PROS,Goldman Sachs/ Barclays/ BofA Merrill Lynch,14,16,17.07,0.2193
190,2019/7/25,Sunnova Energy International ,NOVA,BofA Merrill Lynch/ J.P. Morgan/ Goldman Sachs/ Credit Suisse,12,11.05,11.25,-0.0625
191,2019/7/26,Blue Hat Interactive Entertainment Technology ,BHAT,ViewTrade Securities,4,4.49,4.58,0.145
192,2019/7/26,Switchback Energy Acquisition ,SBE.U,Goldman Sachs/ Citigroup,21,34,37.05,0.7643
193,2019/7/26,"Vista Oil & Gas, S.A.B. de C.V. ",VIST,Citigroup/ Credit Suisse,9.25,8.25,9.1,-0.0162
194,2019/7/26,Wanda Sports Group ,WSG,Morgan Stanley/ Deutsche Bank Securities/ Citigroup,8,6,5.16,-0.355
195,2019/7/31,Netfin Acquisition ,NFINU,B. Riley FBR,10,10,10.02,0.002
196,2019/7/31,Borr Drilling Limited ,BORR,Goldman Sachs/ DNB Markets,9.3,9.54,9.77,0.0505
197,2019/8/1,Dynatrace Holdings ,DT,Goldman Sachs/ J.P. Morgan/ Citigroup,16,25.5,23.85,0.4906
198,2019/8/1,Kura Sushi USA  ,KRUS,BMO Capital Markets/ Stephens,14,14.89,19.61,0.4007
199,2019/8/1,Sundial Growers ,SNDL,Cowen/ BMO Capital Markets/ Barclays,13,13.01,8.48,-0.3477
200,2019/8/2,Orisun Acquisition ,ORSNU,Chardan,10,10,10,0
201,2019/8/5,AMTD International ,HKIB,AMTD Global Markets/ Tiger Brokers,8.38,8.91,10.07,0.2017
202,2019/8/8,InMode Ltd. ,INMD,​Barclays/ UBS Investment Bank/ Canaccord Genuity,14,13.5,13.57,-0.0307
203,2019/8/8,Silver Spike Acquisition (SSPKU) (u),SSPKU,Credit Suisse,10,10,10,0
204,2019/8/9,Thunder Bridge Acquisition II (THBRU) (u),THBRU,Morgan Stanley/ Cantor,10,10.07,10.07,0.007
205,2019/8/15,9F ,JFU,Credit Suisse,9.5,10.88,9.58,0.0084
206,2019/8/15,CrossFirst Bankshares ,CFG,"Keefe, Bruyette & Woods (A Stifel Company)/ RAYMOND JAMES/ Stephens/ Sandler O’Neill + Partners, L.P.",14.5,14.5,14.6,0.0069
207,2019/9/11,New Providence Acquisition ,NPAUU,BTIG,10,10.02,10.04,0.004
208,2019/9/12,10x Genomics ,TXG,J.P. Morgan/ Goldman Sachs/ BofA Merrill Lynch,39,54,52.75,0.3526
209,2019/9/12,SmileDirectClub ,SDC,J.P. Morgan/ Citigroup/ BofA Merrill Lynch/ Jefferies/ UBS Investment Bank/ Credit Suisse ,23,20.55,16.67,-0.2752
210,2019/9/13,Cloudflare ,NET,Goldman Sachs/ Morgan Stanley/ J.P. Morgan,15,18,18,0.2
211,2019/9/13,Experience Investment ,EXPCU,Deutsche Bank Securities/ Citigroup/ J.P. Morgan,10,10,10.01,0.001
212,2019/9/13,Satsuma Pharmaceuticals ,STSA,Credit Suisse/ SVB Leerink/ Evercore,15,19,16.9,0.1267
213,2019/9/13,SpringWorks Therapeutics (SWTX),SWTX,​J.P. Morgan/ Goldman Sachs/ Cowen​,18,24.5,22.63,0.2572
214,2019/9/17,Apex Technology Acquisition ,APXTU,Cantor,10,10.11,10.15,0.015
215,2019/9/18,Envista Holdings ,NVST,J.P. Morgan/ Goldman Sachs/ Morgan Stanley,22,26.65,27.95,0.2705
216,2019/9/18,IGM Biosciences ,IGMS,Jefferies/ Piper Jaffray/ Stifel/ Guggenheim Securities,16,18.31,24.3,0.5188
217,2019/9/19,Datadog ,DDOG,Morgan Stanley/ Goldman Sachs/ J.P. Morgan/ Credit Suisse,27,40.35,37.55,0.3907
218,2019/9/19,Exagen ,XGN,Cowen/ Cantor/ William Blair ,14,16.8,18.58,0.3271
